,Code,Year,Deaths - Self-harm - Sex: Both - Age: Age-standardized (Rate),Prevalence - Substance use disorders - Sex: Both - Age: Age-standardized (Percent),$1.90 per day - share of population below poverty line,Deaths - Cause: All causes - Risk: Air pollution - Sex: Both - Age: Age-standardized (Percent),Prevalence of undernourishment (% of population),"Primary completion rate, total (% of relevant age group)",Human rights protection,GDP per capita (constant 2010 US$)
40,HUN,2012,16.876732293153726,3.11217589091273,0.3058152,7.78441774331919,2.5,97.5367279052734,1.56827114655815,13367.9931241148
41,ISL,2012,9.663468050330431,3.20163591832937,0.03355582,1.2035999405432298,2.5,98.1638412475586,5.13785067427502,44132.3166633736
42,IDN,2012,3.216741310990632,0.92536391136871,9.470777,12.05969924782874,9.3,103.098258972168,-0.248388795923846,3421.28314594111
43,IRN,2012,5.468097620908263,1.07681828470349,0.3681091999999999,11.10187805954941,4.8,97.207389831543,-1.16018626631433,6122.43054988181
44,ISR,2012,6.170123923966821,1.7493750675673998,0.4891973,6.19217020719139,2.5,107.08470916748,-1.1419704877817,31701.8353645015
45,ITA,2012,5.299950152077344,2.77704585014886,1.171693,5.13480225426586,2.5,101.416191101074,1.28845518129437,35019.4718880864
46,KAZ,2012,29.862615641640463,4.64488142390645,0.02514636,8.71731096831052,2.8,107.51927947998,-0.143005405973065,9923.42161744024
47,KGZ,2012,11.91884874642992,3.6952082805919098,2.482169,14.04319095718837,8.2,95.7469787597656,-0.257980176384929,905.165668147783
48,LVA,2012,17.725111977992967,3.52024951301266,1.031883,6.292631006464269,2.5,98.5328674316406,1.6902428042518,13023.7083467423
49,LSO,2012,45.43131716157286,2.76015319816318,34.867470000000004,9.46736294376402,11.9,83.2772827148438,1.04459681728572,1233.72777167439
50,LTU,2012,31.54366976147696,2.9741875986511,0.9477926,4.93136896382583,2.5,101.103492736816,1.87395276541494,13683.8585107703
51,LUX,2012,9.266587362923556,3.79615905209869,0.04361895,3.3382427786687296,2.5,85.8498229980469,5.33293962700989,102404.612086023
52,MDG,2012,10.425881331232045,1.65012243488958,78.84057,17.18762227673756,30.7,69.1286315917969,-0.4304809079155,467.435789903935
53,MWI,2012,12.797777886804925,1.7999604917720802,71.80288,12.35013804697997,17.0,74.800178527832,0.465071514525527,482.923624373842
54,MYS,2012,5.354311150685393,1.10108660433119,0.05948959,6.70746726560403,2.9,106.728370666504,0.459606184585119,9743.0947412817
55,MLI,2012,7.88307166210325,0.7116214004961701,52.38192,13.79272143549503,8.0,54.5511283874512,-0.922458318680057,684.646961737271
56,MLT,2012,4.5556097263903785,2.83912214248488,0.1177221,5.45764068868852,2.5,94.6376800537109,2.66639300400414,22503.1320022588
57,MRT,2012,6.902071123962068,0.7906739466602299,7.957925,14.551700189775191,7.1,70.4361419677734,0.490125119573602,1652.71372425405
